product_type,product_name,product_description,brand,model_series,min_stock_threshold,reorder_point,is_discontinued,meta_title,meta_description,slug,keywords,og_image,product_highlights,long_description,is_published,product_video_url,product_video_file,tag_ids,brand_ids,is_global,ref_cost_kes,ref_sell_kes
PH,iPhone 16 128GB E-SIM (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,16 128GB E-SIM (Dubai),5,10,False,iPhone 16 128GB E-SIM (Dubai),"Explore the iPhone 16 128GB E-SIM (Dubai) by Apple, a high-quality phone.",,"apple, 16 128gb e-sim (dubai), phone, iphone 16 128gb e-sim (dubai)",,[],Discover the iPhone 16 128GB E-SIM (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,85000,90000
PH,iPhone 16 Pro 256GB E-SIM (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,16 Pro 256GB E-SIM (Dubai),5,10,False,iPhone 16 Pro 256GB E-SIM (Dubai),"Explore the iPhone 16 Pro 256GB E-SIM (Dubai) by Apple, a high-quality phone.",,"apple, 16 pro 256gb e-sim (dubai), phone, iphone 16 pro 256gb e-sim (dubai)",,[],Discover the iPhone 16 Pro 256GB E-SIM (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,138000,145000
PH,iPhone 17 256GB E-SIM (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 256GB E-SIM (Dubai),5,10,False,iPhone 17 256GB E-SIM (Dubai),"Explore the iPhone 17 256GB E-SIM (Dubai) by Apple, a high-quality phone.",,"apple, 17 256gb e-sim (dubai), phone, iphone 17 256gb e-sim (dubai)",,[],Discover the iPhone 17 256GB E-SIM (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,104000,110000
PH,iPhone 17 512GB E-SIM (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 512GB E-SIM (Dubai),5,10,False,iPhone 17 512GB E-SIM (Dubai),"Explore the iPhone 17 512GB E-SIM (Dubai) by Apple, a high-quality phone.",,"apple, 17 512gb e-sim (dubai), phone, iphone 17 512gb e-sim (dubai)",,[],Discover the iPhone 17 512GB E-SIM (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,132000,138000
PH,iPhone 17 Air 256GB E-SIM (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 Air 256GB E-SIM (Dubai),5,10,False,iPhone 17 Air 256GB E-SIM (Dubai),"Explore the iPhone 17 Air 256GB E-SIM (Dubai) by Apple, a high-quality phone.",,"apple, 17 air 256gb e-sim (dubai), phone, iphone 17 air 256gb e-sim (dubai)",,[],Discover the iPhone 17 Air 256GB E-SIM (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,116000,120000
PH,iPhone 17 Air 256GB E-SIM White/Gold (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 Air 256GB E-SIM White/Gold (Dubai),5,10,False,iPhone 17 Air 256GB E-SIM White/Gold (Dubai),"Explore the iPhone 17 Air 256GB E-SIM White/Gold (Dubai) by Apple, a high-quality phone.",,"apple, 17 air 256gb e-sim white/gold (dubai), phone, iphone 17 air 256gb e-sim white/gold (dubai)",,[],Discover the iPhone 17 Air 256GB E-SIM White/Gold (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,120000,125000
PH,iPhone 17 Pro 256GB E-SIM (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 Pro 256GB E-SIM (Dubai),5,10,False,iPhone 17 Pro 256GB E-SIM (Dubai),"Explore the iPhone 17 Pro 256GB E-SIM (Dubai) by Apple, a high-quality phone.",,"apple, 17 pro 256gb e-sim (dubai), phone, iphone 17 pro 256gb e-sim (dubai)",,[],Discover the iPhone 17 Pro 256GB E-SIM (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,161500,166000
PH,iPhone 17 Pro 512GB E-SIM Orange/Blue (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 Pro 512GB E-SIM Orange/Blue (Dubai),5,10,False,iPhone 17 Pro 512GB E-SIM Orange/Blue (Dubai),"Explore the iPhone 17 Pro 512GB E-SIM Orange/Blue (Dubai) by Apple, a high-quality phone.",,"apple, 17 pro 512gb e-sim orange/blue (dubai), phone, iphone 17 pro 512gb e-sim orange/blue (dubai)",,[],Discover the iPhone 17 Pro 512GB E-SIM Orange/Blue (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,181500,187500
PH,iPhone 17 Pro 512GB E-SIM Silver (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 Pro 512GB E-SIM Silver (Dubai),5,10,False,iPhone 17 Pro 512GB E-SIM Silver (Dubai),"Explore the iPhone 17 Pro 512GB E-SIM Silver (Dubai) by Apple, a high-quality phone.",,"apple, 17 pro 512gb e-sim silver (dubai), phone, iphone 17 pro 512gb e-sim silver (dubai)",,[],Discover the iPhone 17 Pro 512GB E-SIM Silver (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,185000,193000
PH,iPhone 17 Pro 1TB E-SIM (Dubai),Non-activated. Sourced from Dubai (stock dated 4 May 2026). Warranty: Apple service center only — no shop warranty.,Apple,17 Pro 1TB E-SIM (Dubai),5,10,False,iPhone 17 Pro 1TB E-SIM (Dubai),"Explore the iPhone 17 Pro 1TB E-SIM (Dubai) by Apple, a high-quality phone.",,"apple, 17 pro 1tb e-sim (dubai), phone, iphone 17 pro 1tb e-sim (dubai)",,[],Discover the iPhone 17 Pro 1TB E-SIM (Dubai) from Apple. This phone offers exceptional performance and features.,True,,,[],[],False,208500,216000
