product_type,product_name,product_description,brand,model_series,min_stock_threshold,reorder_point,is_discontinued,meta_title,meta_description,slug,keywords,og_image,product_highlights,long_description,is_published,product_video_url,product_video_file,tag_ids,brand_ids,is_global
PH,Samsung A12,Samsung Samsung A12 a12,Samsung,a12,5,10,False,Samsung A12 - Samsung - Affordable Gadgets,"Explore the Samsung A12 by Samsung, a high-quality phone.",samsung-a12,"a12, phone, samsung, samsung a12",,[],"Discover the Samsung A12 a12 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A73,Samsung Samsung A73 a73,Samsung,a73,5,10,False,Samsung A73 - Samsung - Affordable Gadgets,"Explore the Samsung A73 by Samsung, a high-quality phone.",samsung-a73,"a73, phone, samsung, samsung a73",,[],"Discover the Samsung A73 a73 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iPhone x,Apple Apple iPhone x iphone x,Apple,iphone x,5,10,False,Apple iPhone x - Apple - Affordable Gadgets,"Explore the Apple iPhone x by Apple, a high-quality phone.",apple-iphone-x,"apple, apple iphone x, iphone x, phone",,[],"Discover the Apple iPhone x iphone x from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iPhone 7,Apple Apple iPhone 7 iphone 7,Apple,iphone 7,5,10,False,Apple iPhone 7 - Apple - Affordable Gadgets,"Explore the Apple iPhone 7 by Apple, a high-quality phone.",apple-iphone-7,"apple, apple iphone 7, iphone 7, phone",,[],"Discover the Apple iPhone 7 iphone 7 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung Note 20 5G,Samsung Samsung Note 20 5G note 20,Samsung,note 20,5,10,False,Samsung Note 20 5G - Samsung - Affordable Gadgets,"Explore the Samsung Note 20 5G by Samsung, a high-quality phone.",samsung-note-20-5g,"note 20, phone, samsung, samsung note 20 5g",,[],"Discover the Samsung Note 20 5G note 20 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung Z flip 3,Samsung Samsung Z flip 3 z flip 3,Samsung,z flip 3,5,10,False,Samsung Z flip 3 - Samsung - Affordable Gadgets,"Explore the Samsung Z flip 3 by Samsung, a high-quality phone.",samsung-z-flip-3,"phone, samsung, samsung z flip 3, z flip 3",,[],"Discover the Samsung Z flip 3 z flip 3 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,OnePlus 10 plus pro,OnePlus OnePlus 10 plus pro 10 plus pro,OnePlus,10 plus pro,5,10,False,OnePlus 10 plus pro - OnePlus - Affordable Gadgets,"Explore the OnePlus 10 plus pro by OnePlus, a high-quality phone.",oneplus-10-plus-pro,"10 plus pro, oneplus, oneplus 10 plus pro, phone",,[],"Discover the OnePlus 10 plus pro 10 plus pro from OnePlus. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S22 PLUS,Samsung Samsung S22 PLUS s22 plus,Samsung,s22 plus,5,10,False,Samsung S22 PLUS - Samsung - Affordable Gadgets,"Explore the Samsung S22 PLUS by Samsung, a high-quality phone.",samsung-s22-plus,"phone, s22 plus, samsung, samsung s22 plus",,[],"Discover the Samsung S22 PLUS s22 plus from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A72,Samsung Samsung A72 a72,Samsung,a72,5,10,False,Samsung A72 - Samsung - Affordable Gadgets,"Explore the Samsung A72 by Samsung, a high-quality phone.",samsung-a72,"a72, phone, samsung, samsung a72",,[],"Discover the Samsung A72 a72 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A22,Samsung Samsung A22 a22,Samsung,a22,5,10,False,Samsung A22 - Samsung - Affordable Gadgets,"Explore the Samsung A22 by Samsung, a high-quality phone.",samsung-a22,"a22, phone, samsung, samsung a22",,[],"Discover the Samsung A22 a22 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S21 5G,Samsung Samsung S21 5G s21,Samsung,s21,5,10,False,Samsung S21 5G - Samsung - Affordable Gadgets,"Explore the Samsung S21 5G by Samsung, a high-quality phone.",samsung-s21-5g,"phone, s21, samsung, samsung s21 5g",,[],"Discover the Samsung S21 5G s21 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iphone x,Apple Apple iphone x iphone x,Apple,iphone x,5,10,False,Apple iphone x - Apple - Affordable Gadgets,"Explore the Apple iphone x by Apple, a high-quality phone.",apple-iphone-x,"apple, apple iphone x, iphone x, phone",,[],"Discover the Apple iphone x iphone x from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
